Tiêu đề,Mô tả,Hình ảnh,Nội dung,Link bài viết
Máy gia tốc hạt lớn nhất thế giới biến chì thành vàng,Các nhà nghiên cứu công bố Máy gia tốc hạt lớn có thể chuyển đổi chì thành vàng nhờ va chạm hạt năng lượng cao.,,,https://vnexpress.net/may-gia-toc-hat-lon-nhat-the-gioi-bien-chi-thanh-vang-4883535.html
Sóng bùn khổng lồ hé lộ sự hình thành Đại Tây Dương,,,,https://vnexpress.net/song-bun-khong-lo-he-lo-su-hinh-thanh-dai-tay-duong-4883530.html
"Chuyên gia Google: Nghề lập trình không mất đi, nhưng cần đổi cách học",,,,https://vnexpress.net/chuyen-gia-google-nghe-lap-trinh-khong-mat-di-nhung-can-doi-cach-hoc-4883487.html
iPhone 16e liên tục giảm giá,,,,https://vnexpress.net/iphone-16e-lien-tuc-giam-gia-4882718.html
Hệ thống giúp máy bay tự hạ cánh an toàn,,,,https://vnexpress.net/he-thong-giup-may-bay-tu-ha-canh-an-toan-4882527.html
Mở cổng bình chọn Chung kết Vietnam Game Awards 2025,,https://i1-sohoa.vnecdn.net/2025/04/18/a1-1740472321-4895-1740472360-6339-2682-1744969338.png?w=300&h=180&q=100&dpr=1&fit=crop&s=ta7zTNSG4GSSET-OTBnF2w,,https://vnexpress.net/mo-cong-binh-chon-chung-ket-vietnam-game-awards-2025-4875773.html#vn_source=Folder-KhoaHocCongNghe&vn_campaign=Box-GameVerse2025&vn_medium=Item-0&vn_term=Desktop&vn_thumb=1
Cách con gái út giúp Bill Gates bớt 'nhút nhát',"Phoebe Gates, con gái út của Bill Gates, cho biết đã giúp bố tương tác với đám đông bằng cách ""ép"" ông đi nói chuyện với mọi người.",,,https://vnexpress.net/cach-con-gai-ut-giup-bill-gates-bot-nhut-nhat-4881728.html
Mã QR ra đời thế nào?,"Được phát minh năm 1994 bởi kỹ sư người Nhật Masahiro Hara, mã QR đã cách mạng hóa thanh toán trên toàn thế giới với khả năng lưu trữ nhiều thông tin hơn.",,,https://vnexpress.net/ma-qr-ra-doi-the-nao-4881544.html
Cosplay - điểm nhấn tại các sự kiện game,"Cosplay là sân chơi hóa trang, nơi người tham gia thể hiện tình yêu với nhân vật ảo, làm sống dậy thế giới game trong đời thực.",,,https://vnexpress.net/cosplay-diem-nhan-tai-cac-su-kien-game-4881993.html
37 dự án GameHub 2025 vào vòng đánh giá chuyên môn,Chương trình GameHub 2025 bước vào vòng đánh giá với 37 dự án để tìm ra 10 ứng viên xuất sắc tham gia Chung kết.,,,https://vnexpress.net/37-du-an-gamehub-2025-vao-vong-danh-gia-chuyen-mon-4882087.html
Galaxy A56 5G tăng độ bền với chuẩn IP67,"Samsung trang bị chuẩn kháng nước, kháng bụi IP67, kính Gorilla Glass Victus+, khung kim loại, tản nhiệt buồng hơi cùng bộ AI Awesome Intelligence cho Galaxy A56 5G, hướng tới Gen Z.",https://i1-vnexpress.vnecdn.net/2025/05/06/a561-1746533042-1746533193-6207-1746533274.png?w=300&h=180&q=100&dpr=1&fit=crop&s=fEdn-CjU-X4zQjCF3_9wog,,https://vnexpress.net/galaxy-a56-5g-tang-do-ben-voi-chuan-ip67-4882453.html
Hơn 120 diễn giả sẽ có mặt tại Tuần lễ về blockchain và AI,"Đà NẵngHơn 100 chuyên gia là nhà sáng lập, CEO, chuyên gia công nghệ, nhà đầu tư từ zkSecurity, Vamient Capital, Primal Capital... sẽ có mặt tại Super Vietnam 2025 ngày 3-7/6.",https://i1-vnexpress.vnecdn.net/2025/05/06/07416910c1c873962ad9-174651472-5760-8737-1746515305.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=_K9dPAgQFZ5d1qWfOIMr7w,,https://vnexpress.net/hon-120-dien-gia-se-co-mat-tai-tuan-le-ve-blockchain-va-ai-4882271.html
LG dùng AI để cải thiện hiệu suất điều hòa,"AI và các cảm biến thông minh tham gia vào các quá trình phân tích thói quen sử dụng, nhận biết điều kiện môi trường để đưa ra hiệu suất làm mát tối ưu và hỗ trợ tiết kiệm điện.",https://i1-vnexpress.vnecdn.net/2025/05/06/Image-ExtractWord-0-Out-7074-1746493336.png?w=300&h=180&q=100&dpr=1&fit=crop&s=4p9XiMsvlQXyeDThY4v2tQ,,https://vnexpress.net/lg-dung-ai-de-cai-thien-hieu-suat-dieu-hoa-4878239.html
Trung Quốc hồi sinh công nghệ lò phản ứng muối nóng chảy thorium,"Trung Quốc thử nghiệm thành công lò phản ứng muối nóng chảy thorium, công nghệ từng được Mỹ phát triển vào giữa thế kỷ 20 rồi hủy bỏ.",https://i1-vnexpress.vnecdn.net/2025/05/05/fc8fsr53aumasmg2dtyaze-1746444-5732-8498-1746445628.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=yHgnUUFW99DGY3nn9o0dxw,,https://vnexpress.net/trung-quoc-hoi-sinh-cong-nghe-lo-phan-ung-muoi-nong-chay-thorium-4881619.html
Phân tử mới có thể cách mạng hóa ngành sản xuất chip,"MỹPhân tử mới gồm những nguyên tố hóa học có trong tự nhiên với khả năng thay thế silicon hoặc kim loại, hiện là thành phần thiết yếu trong chip.",https://i1-vnexpress.vnecdn.net/2025/05/05/kunwangmoleculesembed940x627-1-3373-8339-1746417680.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=NobQAqeg5BdvRKfrmG0aVQ,,https://vnexpress.net/phan-tu-moi-co-the-cach-mang-hoa-nganh-san-xuat-chip-4881656.html
